Kanton;Gemeinde;FlÑche;LÑngengrad;Breitengrad
BE;Seeberg;1574;618536;221276
BE;Seedorf (BE);2086;590475;208471
BE;Seehof;841;606220;239154
BE;Seftigen;389;607678;182139
BE;Signau;2208;622866;196091
BE;Sigriswil;5543;623627;176059
BE;Siselen;550;581564;209131
BE;Sonceboz-Sombeval;1501;580282;226766
BE;Sonvilier;2378;563105;221362
BE;Sornetan;564;583271;235774
BE;Sorvilier;689;590080;231180
BE;Souboz;1070;586467;235986
BE;Spiez;1672;617739;170632
BE;St.Stephan;6092;599130;150431
BE;Steffisburg;1336;614819;181160
BE;Stettlen;352;606357;200619
BE;Studen;272;589688;217966
BE;Sumiswald;5937;628584;209051
BE;Sutz-Lattrigen;359;583413;216396
BE;TÑgertschi;364;611324;191264
BE;TÑuffelen;440;581708;212719
BE;Tavannes;1478;580698;230081
BE;Teuffenthal (BE);453;620928;179447
BE;Thierachern;752;610204;177778
BE;Thîrigen;453;622128;224671
BE;Thun;2158;614024;177282
BE;Thunersee;4769;621594;171265
BE;Thunstetten;965;623323;228330
BE;Toffen;490;604099;189747
BE;Trachselwald;1597;626065;206545
BE;Tramelan;2483;574109;230758
BE;Treiten;476;579162;206226
BE;Trimstein;363;610535;194654
BE;Trub;6202;634465;201407
BE;Trubschachen;1563;630341;195336
BE;Tschugg;329;572549;208139
BE;TÅscherz-AlfermÇe;334;581596;219068
BE;Twann;910;578863;216944
BE;Uebeschi;440;608304;176483
BE;Uetendorf;1015;610382;180432
BE;Unterlangenegg;681;620048;183155
BE;Unterseen;1403;630793;171636
BE;Untersteckholz;283;630714;228528
BE;Ursenbach;914;624695;219868
BE;Urtenen;718;604643;207915
BE;Uttigen;305;610511;182538
BE;Utzenstorf;1694;609477;219223
BE;Vauffelin;596;589373;226065
BE;Vechigen;2483;609897;201336
BE;Villeret;1623;568336;223368
BE;Vinelz;457;575723;209115
BE;Wachseldorn;352;622779;185482
BE;Wahlern;4051;593797;185347
BE;Walkringen;1719;614365;201086
BE;Walliswil bei Niederbipp;148;619432;231723
BE;Walliswil bei Wangen;305;618543;230711
BE;Walperswil;694;583684;211264
BE;Walterswil (BE);790;625156;217081
BE;Wangen an der Aare;523;616024;231159
BE;Wangenried;291;616693;229671
BE;Wanzwil;62;619169;227592
BE;Wattenwil;1454;604132;178684
BE;Wengi;707;596715;215018
BE;Wiedlisbach;749;616128;232777
BE;Wiggiswil;143;602475;208926
BE;Wilderswil;1352;632716;166138
BE;Wiler bei Utzenstorf;382;609069;222431
BE;Wileroltigen;416;584789;202340
BE;Willadingen;216;613376;221800
BE;Wimmis;2233;615538;167829
BE;Wohlen bei Bern;3632;592773;203518
BE;Wolfisberg;244;616642;236278
BE;Worb;2110;610063;197358
BE;Worben;281;589210;216645
BE;Wynau;509;627756;233980
BE;Wynigen;2830;619226;217024
BE;Wyssachen;1171;629073;213739
BE;Zauggenried;367;607110;213327
BE;ZÑziwil;542;617446;193865
BE;Zielebach;192;610184;223014
